ID,NAME,PLATFORM
125708,msports-sys,Cargo
125709,mspatchc-sys,Cargo
125710,mstask-sys,Cargo
125711,msrating-sys,Cargo
125712,msv1_0-sys,Cargo
125713,mswsock-sys,Cargo
125714,msxml6-sys,Cargo
125715,msvfw32-sys,Cargo
125716,msxml2-sys,Cargo
125717,mtxdm-sys,Cargo
125718,mtx-sys,Cargo
125719,muiload-sys,Cargo
125720,nddeapi-sys,Cargo
125721,ncrypt-sys,Cargo
125722,ndfapi-sys,Cargo
125723,ndproxystub-sys,Cargo
125724,netlib-sys,Cargo
125725,netapi32-sys,Cargo
125726,netsh-sys,Cargo
125727,newdev-sys,Cargo
125728,ninput-sys,Cargo
125729,normaliz-sys,Cargo
125730,ntdll-sys,Cargo
125731,ntdsatq-sys,Cargo
125732,ntdsapi-sys,Cargo
125733,ntdsa-sys,Cargo
125734,ntdsetup-sys,Cargo
125735,ntlanman-sys,Cargo
125736,ntmarta-sys,Cargo
125737,ntfrsapi-sys,Cargo
125738,ntquery-sys,Cargo
125739,ntstc_msvcrt-sys,Cargo
125740,ntstc_libcmt-sys,Cargo
125741,nt-sys,Cargo
125742,ntvdm-sys,Cargo
125743,odbc32-sys,Cargo
125744,objsel-sys,Cargo
125745,odbcbcp-sys,Cargo
125746,odbccp32-sys,Cargo
125747,oemlicense-sys,Cargo
125748,oleaut32-sys,Cargo
125749,oleacc-sys,Cargo
125750,oledb-sys,Cargo
125751,olecli32-sys,Cargo
125752,oledlg-sys,Cargo
125753,olepro32-sys,Cargo
125754,olesvr32-sys,Cargo
125755,ondemandconnroutehelper-sys,Cargo
125756,opengl32-sys,Cargo
125757,osptk-sys,Cargo
125758,p2pgraph-sys,Cargo
125759,p2p-sys,Cargo
125760,patchwiz-sys,Cargo
125762,pathcch-sys,Cargo
125763,peerdist-sys,Cargo
125764,pdh-sys,Cargo
125765,photoacquireuid-sys,Cargo
125766,portabledeviceguids-sys,Cargo
125767,powrprof-sys,Cargo
125768,prntvpt-sys,Cargo
125769,propsys-sys,Cargo
125770,psapi-sys,Cargo
125771,quartz-sys,Cargo
125772,query-sys,Cargo
125773,qutil-sys,Cargo
125774,qwave-sys,Cargo
125775,rasdlg-sys,Cargo
125776,rasapi32-sys,Cargo
125777,rasuser-sys,Cargo
125778,repl,Cargo
125779,resutils-sys,Cargo
125780,rl-sys,Cargo
125781,rometadata-sys,Cargo
125782,rpcexts-sys,Cargo
125783,rpcproxy-sys,Cargo
125784,rpcutil-sys,Cargo
125785,rpcns4-sys,Cargo
125786,rpcrt4-sys,Cargo
125787,rstrtmgr-sys,Cargo
125788,rtm-sys,Cargo
125789,rtutils-sys,Cargo
125790,rtworkq-sys,Cargo
125791,runtimeobject-sys,Cargo
125792,rust-ini,Cargo
125793,samlib-sys,Cargo
125794,sapi-sys,Cargo
125795,sas-sys,Cargo
125796,samsrv-sys,Cargo
125797,sbtsv-sys,Cargo
125798,scesrv-sys,Cargo
125799,scecli-sys,Cargo
125800,scarddlg-sys,Cargo
125801,schannel-sys,Cargo
125802,scrnsave-sys,Cargo
125803,scrnsavw-sys,Cargo
125804,searchsdk-sys,Cargo
125805,secur32-sys,Cargo
125806,security-sys,Cargo
125807,sensapi-sys,Cargo
125808,sensorsapi-sys,Cargo
125809,sens-sys,Cargo
125810,sfc-sys,Cargo
125811,setupapi-sys,Cargo
125812,shdocvw-sys,Cargo
125813,shcore-sys,Cargo
125814,shlwapi-sys,Cargo
125815,shfolder-sys,Cargo
125816,sisbkup-sys,Cargo
125817,slc-sys,Cargo
125818,slcext-sys,Cargo
125819,slwga-sys,Cargo
125820,snmpapi-sys,Cargo
125821,spoolss-sys,Cargo
125822,sporder-sys,Cargo
125823,srclient-sys,Cargo
125824,ssdpapi-sys,Cargo
125825,sti-sys,Cargo
125826,strmbase-sys,Cargo
125827,strmiids-sys,Cargo
125828,strsafe-sys,Cargo
125829,structuredquery-sys,Cargo
125830,svcguid-sys,Cargo
125831,swdevice-sys,Cargo
125832,synchronization-sys,Cargo
125833,t2embed-sys,Cargo
125834,tapi32l-sys,Cargo
125835,taskschd-sys,Cargo
125836,tapi32-sys,Cargo
125837,tbs-sys,Cargo
125838,tdh-sys,Cargo
125839,thunk32-sys,Cargo
